# time   trace   domains   purity   coherence  equireached
  166      1.0000049174      0.6664555798      0.2232447863      0.0773832165      0.6668100166
  167      1.0000049472      0.6615368334      0.2248727961      0.0768145385      0.6692673879
  168      1.0000049770      0.6566546218      0.2264948575      0.0762499477      0.6717066174
  169      1.0000050068      0.6518086595      0.2281109260      0.0756894196      0.6741278399
  170      1.0000050366      0.6469986640      0.2297209585      0.0751329301      0.6765311895
  171      1.0000050664      0.6422243559      0.2313249137      0.0745804545      0.6789167991
  172      1.0000050962      0.6374854587      0.2329227515      0.0740319683      0.6812848005
  173      1.0000051260      0.6327816987      0.2345144337      0.0734874468      0.6836353245
  174      1.0000051558      0.6281128051      0.2360999233      0.0729468654      0.6859685009
  175      1.0000051856      0.6234785097      0.2376791850      0.0724101990      0.6882844586
  176      1.0000052154      0.6188785469      0.2392521847      0.0718774229      0.6905833252
  177      1.0000052452      0.6143126539      0.2408188898      0.0713485121      0.6928652277
  178      1.0000052750      0.6097805703      0.2423792691      0.0708234417      0.6951302918
  179      1.0000053048      0.6052820382      0.2439332929      0.0703021867      0.6973786424
  180      1.0000053346      0.6008168021      0.2454809325      0.0697847222      0.6996104034
  181      1.0000053644      0.5963846089      0.2470221607      0.0692710242      0.7018256978
  182      1.0000053942      0.5919852078      0.2485569516      0.0687610686      0.7040246475
  183      1.0000054240      0.5876183503      0.2500852806      0.0682548285      0.7062073736
  184      1.0000054538      0.5832837902      0.2516071241      0.0677522793      0.7083739962
  185      1.0000054836      0.5789812835      0.2531224599      0.0672533960      0.7105246346
  186      1.0000055134      0.5747105882      0.2546312669      0.0667581539      0.7126594071
  187      1.0000055432      0.5704714646      0.2561335252      0.0662665284      0.7147784312
  188      1.0000055730      0.5662636749      0.2576292161      0.0657784947      0.7168818233
  189      1.0000056029      0.5620869836      0.2591183218      0.0652940284      0.7189696992
  190      1.0000056327      0.5579411571      0.2606008259      0.0648131048      0.7210421735
  191      1.0000056625      0.5538259636      0.2620767127      0.0643356997      0.7230993602
  192      1.0000056923      0.5497411736      0.2635459679      0.0638617887      0.7251413724
  193      1.0000057221      0.5456865593      0.2650085781      0.0633913476      0.7271683223
  194      1.0000057519      0.5416618948      0.2664645307      0.0629243521      0.7291803211
  195      1.0000057817      0.5376669561      0.2679138145      0.0624607783      0.7311774795
  196      1.0000058115      0.5337015212      0.2693564188      0.0620006022      0.7331599070
  197      1.0000058413      0.5297653696      0.2707923343      0.0615437999      0.7351277126
  198      1.0000058711      0.5258582828      0.2722215523      0.0610903477      0.7370810044
  199      1.0000059009      0.5219800442      0.2736440652      0.0606402221      0.7390198894
  200      1.0000059307      0.5181304386      0.2750598660      0.0601933993      0.7409444743
  201      1.0000059605      0.5143092528      0.2764689491      0.0597498562      0.7428548645
  202      1.0000059903      0.5105162752      0.2778713092      0.0593095694      0.7447511650
  203      1.0000060201      0.5067512960      0.2792669421      0.0588725156      0.7466334799
  204      1.0000060499      0.5030141067      0.2806558445      0.0584386720      0.7485019123
  205      1.0000060797      0.4993045010      0.2820380136      0.0580080155      0.7503565648
  206      1.0000061095      0.4956222738      0.2834134478      0.0575805234      0.7521975393
  207      1.0000061393      0.4919672218      0.2847821458      0.0571561731      0.7540249365
  208      1.0000061691      0.4883391431      0.2861441075      0.0567349419      0.7558388569
  209      1.0000061989      0.4847378376      0.2874993332      0.0563168074      0.7576393999
  210      1.0000062287      0.4811631067      0.2888478240      0.0559017475      0.7594266642
  211      1.0000062585      0.4776147533      0.2901895819      0.0554897400      0.7612007479
  212      1.0000062883      0.4740925817      0.2915246092      0.0550807628      0.7629617482
  213      1.0000063181      0.4705963979      0.2928529093      0.0546747940      0.7647097618
  214      1.0000063479      0.4671260093      0.2941744859      0.0542718120      0.7664448844
  215      1.0000063777      0.4636812249      0.2954893436      0.0538717952      0.7681672112
  216      1.0000064075      0.4602618549      0.2967974875      0.0534747220      0.7698768367
  217      1.0000064373      0.4568677113      0.2980989232      0.0530805711      0.7715738545
  218      1.0000064671      0.4534986072      0.2993936573      0.0526893213      0.7732583577
  219      1.0000064969      0.4501543573      0.3006816964      0.0523009515      0.7749304387
  220      1.0000065267      0.4468347777      0.3019630483      0.0519154409      0.7765901891
  221      1.0000065565      0.4435396859      0.3032377208      0.0515327687      0.7782376998
  222      1.0000065863      0.4402689008      0.3045057226      0.0511529141      0.7798730613
  223      1.0000066161      0.4370222425      0.3057670628      0.0507758566      0.7814963631
  224      1.0000066459      0.4337995326      0.3070217511      0.0504015759      0.7831076942
  225      1.0000066757      0.4306005942      0.3082697976      0.0500300518      0.7847071429
  226      1.0000067055      0.4274252514      0.3095112129      0.0496612640      0.7862947969
  227      1.0000067353      0.4242733298      0.3107460082      0.0492951928      0.7878707431
  228      1.0000067651      0.4211446564      0.3119741951      0.0489318181      0.7894350681
  229      1.0000067950      0.4180390594      0.3131957857      0.0485711202      0.7909878574
  230      1.0000068248      0.4149563682      0.3144107924      0.0482130798      0.7925291963
  231      1.0000068546      0.4118964136      0.3156192283      0.0478576772      0.7940591690
  232      1.0000068844      0.4088590277      0.3168211066      0.0475048931      0.7955778596
  233      1.0000069142      0.4058440437      0.3180164413      0.0471547085      0.7970853512
  234      1.0000069440      0.4028512962      0.3192052464      0.0468071043      0.7985817264
  235      1.0000069738      0.3998806210      0.3203875366      0.0464620616      0.8000670672
  236      1.0000070036      0.3969318551      0.3215633268      0.0461195615      0.8015414550
  237      1.0000070334      0.3940048366      0.3227326324      0.0457795856      0.8030049706
  238      1.0000070632      0.3910994051      0.3238954692      0.0454421152      0.8044576942
  239      1.0000070930      0.3882154012      0.3250518531      0.0451071319      0.8058997054
  240      1.0000071228      0.3853526666      0.3262018007      0.0447746176      0.8073310832
  241      1.0000071526      0.3825110443      0.3273453286      0.0444445541      0.8087519059
  242      1.0000071824      0.3796903786      0.3284824539      0.0441169235      0.8101622516
  243      1.0000072122      0.3768905147      0.3296131941      0.0437917077      0.8115621974
  244      1.0000072420      0.3741112990      0.3307375669      0.0434688893      0.8129518200
  245      1.0000072718      0.3713525793      0.3318555902      0.0431484504      0.8143311956
  246      1.0000073016      0.3686142042      0.3329672823      0.0428303736      0.8157003998
  247      1.0000073314      0.3658960237      0.3340726619      0.0425146417      0.8170595075
  248      1.0000073612      0.3631978886      0.3351717478      0.0422012372      0.8184085932
  249      1.0000073910      0.3605196510      0.3362645592      0.0418901432      0.8197477309
  250      1.0000074208      0.3578611642      0.3373511153      0.0415813426      0.8210769939
  251      1.0000074506      0.3552222824      0.3384314359      0.0412748186      0.8223964550
  252      1.0000074804      0.3526028610      0.3395055409      0.0409705545      0.8237061865
  253      1.0000075102      0.3500027563      0.3405734503      0.0406685335      0.8250062602
  254      1.0000075400      0.3474218259      0.3416351845      0.0403687393      0.8262967473
  255      1.0000075698      0.3448599283      0.3426907641      0.0400711553      0.8275777185
  256      1.0000075996      0.3423169231      0.3437402099      0.0397757655      0.8288492439
  257      1.0000076294      0.3397926709      0.3447835428      0.0394825535      0.8301113933
  258      1.0000076592      0.3372870334      0.3458207840      0.0391915034      0.8313642357
  259      1.0000076890      0.3347998732      0.3468519551      0.0389025993      0.8326078399
  260      1.0000077188      0.3323310541      0.3478770774      0.0386158254      0.8338422738
  261      1.0000077486      0.3298804407      0.3488961728      0.0383311659      0.8350676053
  262      1.0000077784      0.3274478988      0.3499092632      0.0380486054      0.8362839013
  263      1.0000078082      0.3250332950      0.3509163708      0.0377681284      0.8374912285
  264      1.0000078380      0.3226364971      0.3519175177      0.0374897194      0.8386896531
  265      1.0000078678      0.3202573736      0.3529127264      0.0372133634      0.8398792407
  266      1.0000078976      0.3178957944      0.3539020195      0.0369390451      0.8410600564
  267      1.0000079274      0.3155516298      0.3548854196      0.0366667496      0.8422321650
  268      1.0000079573      0.3132247516      0.3558629498      0.0363964620      0.8433956307
  269      1.0000079871      0.3109150321      0.3568346328      0.0361281675      0.8445505172
  270      1.0000080169      0.3086223449      0.3578004919      0.0358618513      0.8456968878
  271      1.0000080467      0.3063465643      0.3587605504      0.0355974989      0.8468348052
  272      1.0000080765      0.3040875656      0.3597148314      0.0353350959      0.8479643318
  273      1.0000081063      0.3018452250      0.3606633587      0.0350746279      0.8490855296
  274      1.0000081361      0.2996194198      0.3616061556      0.0348160807      0.8501984598
  275      1.0000081659      0.2974100279      0.3625432459      0.0345594400      0.8513031834
  276      1.0000081957      0.2952169283      0.3634746535      0.0343046918      0.8523997611
  277      1.0000082255      0.2930400008      0.3644004021      0.0340518222      0.8534882528
  278      1.0000082553      0.2908791262      0.3653205157      0.0338008173      0.8545687182
  279      1.0000082851      0.2887341861      0.3662350184      0.0335516635      0.8556412165
  280      1.0000083149      0.2866050629      0.3671439343      0.0333043470      0.8567058064
  281      1.0000083447      0.2844916400      0.3680472876      0.0330588543      0.8577625462
  282      1.0000083745      0.2823938017      0.3689451026      0.0328151720      0.8588114938
  283      1.0000084043      0.2803114330      0.3698374036      0.0325732867      0.8598527067
  284      1.0000084341      0.2782444198      0.3707242151      0.0323331851      0.8608862420
  285      1.0000084639      0.2761926488      0.3716055615      0.0320948543      0.8619121561
  286      1.0000084937      0.2741560077      0.3724814673      0.0318582810      0.8629305055
  287      1.0000085235      0.2721343850      0.3733519571      0.0316234523      0.8639413457
  288      1.0000085533      0.2701276697      0.3742170555      0.0313903554      0.8649447322
  289      1.0000085831      0.2681357520      0.3750767871      0.0311589775      0.8659407200
  290      1.0000086129      0.2661585229      0.3759311767      0.0309293060      0.8669293636
  291      1.0000086427      0.2641958738      0.3767802491      0.0307013282      0.8679107172
  292      1.0000086725      0.2622476974      0.3776240289      0.0304750316      0.8688848345
  293      1.0000087023      0.2603138870      0.3784625410      0.0302504039      0.8698517688
  294      1.0000087321      0.2583943365      0.3792958102      0.0300274328      0.8708115733
  295      1.0000087619      0.2564889407      0.3801238613      0.0298061061      0.8717643004
  296      1.0000087917      0.2545975955      0.3809467193      0.0295864116      0.8727100023
  297      1.0000088215      0.2527201970      0.3817644090      0.0293683373      0.8736487308
  298      1.0000088513      0.2508566425      0.3825769552      0.0291518712      0.8745805373
  299      1.0000088811      0.2490068299      0.3833843830      0.0289370016      0.8755054730
  300      1.0000089109      0.2471706578      0.3841867172      0.0287237165      0.8764235884
  301      1.0000089407      0.2453480257      0.3849839828      0.0285120045      0.8773349339
  302      1.0000089705      0.2435388337      0.3857762047      0.0283018537      0.8782395593
  303      1.0000090003      0.2417429826      0.3865634077      0.0280932529      0.8791375143
  304      1.0000090301      0.2399603742      0.3873456169      0.0278861904      0.8800288480
  305      1.0000090599      0.2381909108      0.3881228571      0.0276806550      0.8809136092
  306      1.0000090897      0.2364344954      0.3888951532      0.0274766354      0.8817918464
  307      1.0000091196      0.2346910317      0.3896625301      0.0272741204      0.8826636078
  308      1.0000091494      0.2329604244      0.3904250128      0.0270730990      0.8835289410
  309      1.0000091792      0.2312425786      0.3911826260      0.0268735601      0.8843878935
  310      1.0000092090      0.2295374002      0.3919353946      0.0266754928      0.8852405122
  311      1.0000092388      0.2278447958      0.3926833435      0.0264788862      0.8860868441
  312      1.0000092686      0.2261646726      0.3934264974      0.0262837296      0.8869269353
  313      1.0000092984      0.2244969386      0.3941648811      0.0260900124      0.8877608319
  314      1.0000093282      0.2228415025      0.3948985194      0.0258977237      0.8885885795
  315      1.0000093580      0.2211982736      0.3956274370      0.0257068533      0.8894102236
  316      1.0000093878      0.2195671618      0.3963516586      0.0255173905      0.8902258092
  317      1.0000094176      0.2179480778      0.3970712087      0.0253293250      0.8910353808
  318      1.0000094474      0.2163409330      0.3977861122      0.0251426465      0.8918389829
  319      1.0000094772      0.2147456392      0.3984963934      0.0249573447      0.8926366595
  320      1.0000095070      0.2131621091      0.3992020770      0.0247734096      0.8934284542
  321      1.0000095368      0.2115902559      0.3999031875      0.0245908311      0.8942144105
  322      1.0000095666      0.2100299936      0.4005997494      0.0244095991      0.8949945714
  323      1.0000095964      0.2084812366      0.4012917870      0.0242297037      0.8957689796
  324      1.0000096262      0.2069439001      0.4019793247      0.0240511350      0.8965376775
  325      1.0000096560      0.2054179000      0.4026623868      0.0238738833      0.8973007073
  326      1.0000096858      0.2039031525      0.4033409977      0.0236979389      0.8980581108
  327      1.0000097156      0.2023995748      0.4040151815      0.0235232921      0.8988099294
  328      1.0000097454      0.2009070844      0.4046849625      0.0233499334      0.8995562043
  329      1.0000097752      0.1994255996      0.4053503646      0.0231778532      0.9002969764
  330      1.0000098050      0.1979550393      0.4060114121      0.0230070422      0.9010322863
  331      1.0000098348      0.1964953228      0.4066681288      0.0228374909      0.9017621743
  332      1.0000098646      0.1950463703      0.4073205388      0.0226691901      0.9024866803
  333      1.0000098944      0.1936081023      0.4079686659      0.0225021306      0.9032058440
  334      1.0000099242      0.1921804402      0.4086125339      0.0223363032      0.9039197049
  335      1.0000099540      0.1907633055      0.4092521667      0.0221716988      0.9046283020
  336      1.0000099838      0.1893566208      0.4098875879      0.0220083084      0.9053316741
  337      1.0000100136      0.1879603090      0.4105188212      0.0218461231      0.9060298598
  338      1.0000100434      0.1865742935      0.4111458901      0.0216851339      0.9067228972
  339      1.0000100732      0.1851984985      0.4117688181      0.0215253321      0.9074108245
  340      1.0000101030      0.1838328486      0.4123876288      0.0213667089      0.9080936793
  341      1.0000101328      0.1824772689      0.4130023453      0.0212092555      0.9087714988
  342      1.0000101626      0.1811316853      0.4136129912      0.0210529635      0.9094443204
  343      1.0000101924      0.1797960240      0.4142195895      0.0208978242      0.9101121809
  344      1.0000102222      0.1784702118      0.4148221634      0.0207438290      0.9107751167
  345      1.0000102521      0.1771541762      0.4154207361      0.0205909697      0.9114331643
  346      1.0000102819      0.1758478449      0.4160153305      0.0204392377      0.9120863597
  347      1.0000103117      0.1745511466      0.4166059696      0.0202886249      0.9127347387
  348      1.0000103415      0.1732640100      0.4171926762      0.0201391228      0.9133783367
  349      1.0000103713      0.1719863648      0.4177754732      0.0199907234      0.9140171891
  350      1.0000104011      0.1707181409      0.4183543832      0.0198434186      0.9146513309
  351      1.0000104309      0.1694592689      0.4189294289      0.0196972001      0.9152807967
  352      1.0000104607      0.1682096798      0.4195006328      0.0195520601      0.9159056210
  353      1.0000104905      0.1669693051      0.4200680174      0.0194079906      0.9165258381
  354      1.0000105203      0.1657380769      0.4206316051      0.0192649837      0.9171414820
  355      1.0000105501      0.1645159278      0.4211914182      0.0191230315      0.9177525864
  356      1.0000105799      0.1633027907      0.4217474790      0.0189821262      0.9183591847
  357      1.0000106097      0.1620985994      0.4222998095      0.0188422603      0.9189613102
  358      1.0000106395      0.1609032877      0.4228484320      0.0187034259      0.9195589958
  359      1.0000106693      0.1597167902      0.4233933682      0.0185656155      0.9201522744
  360      1.0000106991      0.1585390419      0.4239346403      0.0184288215      0.9207411783
  361      1.0000107289      0.1573699783      0.4244722699      0.0182930365      0.9213257399
  362      1.0000107587      0.1562095353      0.4250062789      0.0181582529      0.9219059911
  363      1.0000107885      0.1550576495      0.4255366888      0.0180244635      0.9224819639
