# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
   68     19.3916850813      0.3674166667    217.0372756040      0.4967396259      0.3333660364      0.8162916303         113    4.4612433376
   69     18.9900003489      0.3578333333    218.0260505386      0.4941177368      0.3372774720      0.8210833073         115    4.4612433376
   70     18.6772068552      0.3495833333    218.9128843272      0.4904546738      0.3406644464      0.8252083063          99    4.4612433376
   71     18.2445016618      0.3404166667    219.8661179412      0.4838027954      0.3444509804      0.8297916651         110    4.4612433376
   72     17.9496608752      0.3336666667    220.5822859744      0.4841406345      0.3472521901      0.8331665993          81    4.4612433376
   73     17.4984526359      0.3242500000    221.5938853047      0.4699940681      0.3511766493      0.8378750682         113    4.4612433376
   74     17.0655326684      0.3150000000    222.5564090408      0.4641580582      0.3550541401      0.8425000310         111    4.4612433376
   75     16.7781685912      0.3083333333    223.2753222410      0.4567534924      0.3578621149      0.8458334208          80    4.4612433376
   76     16.4290730462      0.3007500000    224.0744155249      0.4535539150      0.3610699177      0.8496250510          91    4.4612433376
   77     16.0206649049      0.2924166667    224.9567111978      0.4442620277      0.3646119833      0.8537917137         100    4.4612433376
   78     15.7196347372      0.2854166667    225.6937783130      0.4395160675      0.3676043749      0.8572915792          84    4.4612433376
   79     15.3845180559      0.2782500000    226.4466282323      0.4368872643      0.3706750870      0.8608750105          86    4.4612433376
   80     15.0792194319      0.2712500000    227.1977838613      0.4272675514      0.3736940920      0.8643749952          84    4.4612433376
   81     14.7733567564      0.2645833333    227.9064297301      0.4242935181      0.3765798509      0.8677083850          80    4.4612433376
   82     14.4971090225      0.2586666667    228.5232635645      0.4216079712      0.3791443110      0.8706666827          71    4.4612433376
   83     14.1575680331      0.2521666667    229.2085357858      0.4080293179      0.3819746971      0.8739167452          78    4.4612433376
   84     13.9061635005      0.2468333333    229.8023142443      0.4130010605      0.3843078017      0.8765833378          64    4.4612433376
   85     13.6825496201      0.2417500000    230.3550351022      0.4027409554      0.3865399659      0.8791249990          61    4.4612433376
   86     13.3777167065      0.2352500000    231.0529051179      0.3997893333      0.3893955350      0.8823750019          78    4.4612433376
   87     13.0664507036      0.2295833333    231.6415646516      0.3941309452      0.3918991089      0.8852082491          68    4.4612433376
   88     12.8298594273      0.2245833333    232.1705064709      0.3890104294      0.3941093087      0.8877083063          60    4.4612433376
